[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'betterfortresses:fortress' in civil:civil_zone_policies/yungs_better_nether_fortresses.json (rule=betterfortresses_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Rule 'betterfortresses_all' in civil:civil_zone_policies/yungs_better_nether_fortresses.json has no valid structures, skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'betteroceanmonuments:ocean_monument' in civil:civil_zone_policies/yungs_better_ocean_monuments.json (rule=betteroceanmonuments_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Rule 'betteroceanmonuments_all' in civil:civil_zone_policies/yungs_better_ocean_monuments.json has no valid structures, skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'betterstrongholds:stronghold' in civil:civil_zone_policies/yungs_better_strongholds.json (rule=betterstrongholds_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Rule 'betterstrongholds_all' in civil:civil_zone_policies/yungs_better_strongholds.json has no valid structures, skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'betterwitchhuts:witch_circle' in civil:civil_zone_policies/yungs_better_witch_huts.json (rule=betterwitchhuts_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown structure 'betterwitchhuts:witch_hut' in civil:civil_zone_policies/yungs_better_witch_huts.json (rule=betterwitchhuts_all), skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Rule 'betterwitchhuts_all' in civil:civil_zone_policies/yungs_better_witch_huts.json has no valid structures, skipping
[19:47:14] [Server thread/INFO] [civil-registry/]: [civil-registry] Loaded 1 zone policy rule(s) from datapack
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown dimension 'minecells:prison' in civil:civil_dimension_policies/defaults.json, skipping
[19:47:14] [Server thread/WARN] [civil-registry/]: [civil-registry] Unknown dimension 'minecells:promenade' in civil:civil_dimension_policies/defaults.json, skipping
